State,Drug,Year,Percentage
Northern Territory,Cannabis,2013,15.9
Northern Territory,Cannabis,2016,15.2
Northern Territory,Cannabis,2019,15.3
Northern Territory,Ecstasy,2007,3.7
Northern Territory,Ecstasy,2010,2.7
Northern Territory,Ecstasy,2013,2.9
Northern Territory,Ecstasy,2016,2.6
Northern Territory,Ecstasy,2019,2.7
Northern Territory,Meth,2007,2.2
Northern Territory,Meth,2010,1.8
Northern Territory,Meth,2013,2.5
Northern Territory,Meth,2016,1.3
Northern Territory,Meth,2019,1.5
Northern Territory,Cocaine,2007,0.9
Northern Territory,Cocaine,2010,0.5
Northern Territory,Cocaine,2013,2.0
Northern Territory,Cocaine,2016,2.3
Northern Territory,Cocaine,2019,2.9
Northern Territory,Any illicit,2007,18.3
Northern Territory,Any illicit,2010,19.6
Northern Territory,Any illicit,2013,20.9
Northern Territory,Any illicit,2016,20.7
Northern Territory,Any illicit,2019,19.0
Australian Capital Territory,Cannabis,2007,8.7
Australian Capital Territory,Cannabis,2010,9.0
Australian Capital Territory,Cannabis,2013,9.7
Australian Capital Territory,Cannabis,2016,8.2
Australian Capital Territory,Cannabis,2019,10.4
Australian Capital Territory,Ecstasy,2007,4.4
Australian Capital Territory,Ecstasy,2010,2.0
Australian Capital Territory,Ecstasy,2013,2.5
Australian Capital Territory,Ecstasy,2016,2.2
Australian Capital Territory,Ecstasy,2019,2.2
Australian Capital Territory,Meth,2007,2.1
Australian Capital Territory,Meth,2010,1.1
Australian Capital Territory,Meth,2013,2.0
Australian Capital Territory,Meth,2016,1.1
Australian Capital Territory,Meth,2019,0.3
Australian Capital Territory,Cocaine,2007,1.3
Australian Capital Territory,Cocaine,2010,1.6
Australian Capital Territory,Cocaine,2013,2.6
Australian Capital Territory,Cocaine,2016,1.8
Australian Capital Territory,Cocaine,2019,3.2
Australian Capital Territory,Any illicit,2007,13.1
Australian Capital Territory,Any illicit,2010,13.3
Australian Capital Territory,Any illicit,2013,14.9
Australian Capital Territory,Any illicit,2016,12.7
Australian Capital Territory,Any illicit,2019,14.3
