State,Status,Year,Percentage,,,,,,,
Western Australia,Less often than monthly,2019,13.5,,,,,,,
Western Australia,Ex-drinker,2007,5.7,,,,,,,
Western Australia,Ex-drinker,2010,7.1,,,,,,,
Western Australia,Ex-drinker,2013,6.3,,,,,,,
Western Australia,Ex-drinker,2016,9.9,,,,,,,
Western Australia,Ex-drinker,2019,9.0,,,,,,,
Western Australia,Never a full glass,2007,7.7,,,,,,,
Western Australia,Never a full glass,2010,9.8,,,,,,,
Western Australia,Never a full glass,2013,10.5,,,,,,,
Western Australia,Never a full glass,2016,15.4,,,,,,,
Western Australia,Never a full glass,2019,17.7,,,,,,,
South Australia,Daily,2007,8.0,,,,,,,
South Australia,Daily,2010,6.1,,,,,,,
South Australia,Daily,2013,6.6,,,,,,,
South Australia,Daily,2016,6.0,,,,,,,
South Australia,Daily,2019,5.8,,,,,,,
South Australia,Weekly,2007,42.0,,,,,,,
South Australia,Weekly,2010,41.0,,,,,,,
South Australia,Weekly,2013,38.5,,,,,,,
South Australia,Weekly,2016,36.0,,,,,,,
South Australia,Weekly,2019,36.8,,,,,,,
South Australia,Monthly,2007,19.9,,,,,,,
South Australia,Monthly,2010,20.4,,,,,,,
South Australia,Monthly,2013,21.2,,,,,,,
South Australia,Monthly,2016,22.4,,,,,,,
South Australia,Monthly,2019,21.6,,,,,,,
South Australia,Less often than monthly,2007,14.3,,,,,,,
South Australia,Less often than monthly,2010,13.4,,,,,,,
South Australia,Less often than monthly,2013,14.2,,,,,,,
South Australia,Less often than monthly,2016,14.7,,,,,,,
South Australia,Less often than monthly,2019,15.0,,,,,,,
South Australia,Ex-drinker,2007,7.8,,,,,,,
South Australia,Ex-drinker,2010,8.2,,,,,,,
South Australia,Ex-drinker,2013,7.8,,,,,,,
South Australia,Ex-drinker,2016,6.6,,,,,,,
South Australia,Ex-drinker,2019,8.5,,,,,,,
South Australia,Never a full glass,2007,8.0,,,,,,,
South Australia,Never a full glass,2010,10.9,,,,,,,
South Australia,Never a full glass,2013,11.8,,,,,,,
South Australia,Never a full glass,2016,14.3,,,,,,,
South Australia,Never a full glass,2019,12.4,,,,,,,
Tasmania,Daily,2007,7.0,,,,,,,
Tasmania,Daily,2010,6.5,,,,,,,
Tasmania,Daily,2013,6.0,,,,,,,
Tasmania,Daily,2016,5.7,,,,,,,
Tasmania,Daily,2019,5.1,,,,,,,
Tasmania,Weekly,2007,40.7,,,,,,,
Tasmania,Weekly,2010,39.9,,,,,,,
Tasmania,Weekly,2013,39.3,,,,,,,
Tasmania,Weekly,2016,37.5,,,,,,,
Tasmania,Weekly,2019,38.1,,,,,,,
Tasmania,Monthly,2007,22.0,,,,,,,
Tasmania,Monthly,2010,24.2,,,,,,,
Tasmania,Monthly,2013,21.9,,,,,,,
Tasmania,Monthly,2016,21.6,,,,,,,
Tasmania,Monthly,2019,22.8,,,,,,,
Tasmania,Less often than monthly,2007,15.8,,,,,,,
Tasmania,Less often than monthly,2010,14.8,,,,,,,
Tasmania,Less often than monthly,2013,16.6,,,,,,,
Tasmania,Less often than monthly,2016,18.2,,,,,,,
Tasmania,Less often than monthly,2019,17.2,,,,,,,
Tasmania,Ex-drinker,2007,6.3,,,,,,,
Tasmania,Ex-drinker,2010,7.4,,,,,,,
Tasmania,Ex-drinker,2013,6.9,,,,,,,
Tasmania,Ex-drinker,2016,8.2,,,,,,,
Tasmania,Ex-drinker,2019,10.4,,,,,,,
Tasmania,Never a full glass,2007,8.1,,,,,,,
Tasmania,Never a full glass,2010,7.2,,,,,,,
Tasmania,Never a full glass,2013,9.2,,,,,,,
Tasmania,Never a full glass,2016,8.8,,,,,,,
Tasmania,Never a full glass,2019,6.4,,,,,,,
Northern Territory,Daily,2007,10.9,,,,,,,
Northern Territory,Daily,2010,7.5,,,,,,,
Northern Territory,Daily,2013,9.3,,,,,,,
Northern Territory,Daily,2016,7.5,,,,,,,
Northern Territory,Daily,2019,8.2,,,,,,,
Northern Territory,Weekly,2007,44.3,,,,,,,
Northern Territory,Weekly,2010,45.5,,,,,,,
Northern Territory,Weekly,2013,44.8,,,,,,,
Northern Territory,Weekly,2016,37.9,,,,,,,
Northern Territory,Weekly,2019,37.7,,,,,,,
Northern Territory,Monthly,2007,17.7,,,,,,,
Northern Territory,Monthly,2010,20.2,,,,,,,
Northern Territory,Monthly,2013,18.0,,,,,,,
Northern Territory,Monthly,2016,18.0,,,,,,,
Northern Territory,Monthly,2019,18.6,,,,,,,
Northern Territory,Less often than monthly,2007,12.7,,,,,,,
Northern Territory,Less often than monthly,2010,13.0,,,,,,,
Northern Territory,Less often than monthly,2013,12.2,,,,,,,
Northern Territory,Less often than monthly,2016,13.6,,,,,,,
