State,Status,Year,Percentage,Latitude,Longitude
Western Australia,Occasional,2016,3.2,-25.042261,117.793221
Western Australia,Occasional,2019,3,-25.042261,117.793221
Western Australia,Ex-smoker,2001,26.5,-25.042261,117.793221
Western Australia,Ex-smoker,2004,29,-25.042261,117.793221
Western Australia,Ex-smoker,2007,28.3,-25.042261,117.793221
Western Australia,Ex-smoker,2010,24.3,-25.042261,117.793221
Western Australia,Ex-smoker,2013,27.5,-25.042261,117.793221
Western Australia,Ex-smoker,2016,22.4,-25.042261,117.793221
Western Australia,Ex-smoker,2019,22.7,-25.042261,117.793221
Western Australia,Never smoked,2001,49.1,-25.042261,117.793221
Western Australia,Never smoked,2004,52.4,-25.042261,117.793221
Western Australia,Never smoked,2007,54.3,-25.042261,117.793221
Western Australia,Never smoked,2010,57,-25.042261,117.793221
Western Australia,Never smoked,2013,56.7,-25.042261,117.793221
Western Australia,Never smoked,2016,62.9,-25.042261,117.793221
Western Australia,Never smoked,2019,62.4,-25.042261,117.793221
South Australia,Daily,2001,20.1,-30.000233,136.209152
South Australia,Daily,2004,16.5,-30.000233,136.209152
South Australia,Daily,2007,16.5,-30.000233,136.209152
South Australia,Daily,2010,15,-30.000233,136.209152
South Australia,Daily,2013,12.8,-30.000233,136.209152
South Australia,Daily,2016,10.8,-30.000233,136.209152
South Australia,Daily,2019,11.9,-30.000233,136.209152
South Australia,Occasional,2001,3.4,-30.000233,136.209152
South Australia,Occasional,2004,2.6,-30.000233,136.209152
South Australia,Occasional,2007,3.2,-30.000233,136.209152
South Australia,Occasional,2010,2.4,-30.000233,136.209152
South Australia,Occasional,2013,2.6,-30.000233,136.209152
South Australia,Occasional,2016,2.4,-30.000233,136.209152
South Australia,Occasional,2019,2.2,-30.000233,136.209152
South Australia,Ex-smoker,2001,28.2,-30.000233,136.209152
South Australia,Ex-smoker,2004,28.8,-30.000233,136.209152
South Australia,Ex-smoker,2007,24.1,-30.000233,136.209152
South Australia,Ex-smoker,2010,25.8,-30.000233,136.209152
South Australia,Ex-smoker,2013,24.9,-30.000233,136.209152
South Australia,Ex-smoker,2016,23.8,-30.000233,136.209152
South Australia,Ex-smoker,2019,24.7,-30.000233,136.209152
South Australia,Never smoked,2001,48.4,-30.000233,136.209152
South Australia,Never smoked,2004,52,-30.000233,136.209152
South Australia,Never smoked,2007,56.2,-30.000233,136.209152
South Australia,Never smoked,2010,56.8,-30.000233,136.209152
South Australia,Never smoked,2013,59.7,-30.000233,136.209152
South Australia,Never smoked,2016,62.9,-30.000233,136.209152
South Australia,Never smoked,2019,61.1,-30.000233,136.209152
Tasmania,Daily,2001,20.6,-42.0409,146.8087
Tasmania,Daily,2004,21.5,-42.0409,146.8087
Tasmania,Daily,2007,22.6,-42.0409,146.8087
Tasmania,Daily,2010,15.9,-42.0409,146.8087
Tasmania,Daily,2013,16.1,-42.0409,146.8087
Tasmania,Daily,2016,16,-42.0409,146.8087
Tasmania,Daily,2019,12.8,-42.0409,146.8087
Tasmania,Occasional,2001,3.7,-42.0409,146.8087
Tasmania,Occasional,2004,2.6,-42.0409,146.8087
Tasmania,Occasional,2007,2.2,-42.0409,146.8087
Tasmania,Occasional,2010,2.6,-42.0409,146.8087
Tasmania,Occasional,2013,2.3,-42.0409,146.8087
Tasmania,Occasional,2016,2.8,-42.0409,146.8087
Tasmania,Occasional,2019,1.3,-42.0409,146.8087
Tasmania,Ex-smoker,2001,28.6,-42.0409,146.8087
Tasmania,Ex-smoker,2004,28.2,-42.0409,146.8087
Tasmania,Ex-smoker,2007,26.5,-42.0409,146.8087
Tasmania,Ex-smoker,2010,28.7,-42.0409,146.8087
Tasmania,Ex-smoker,2013,28.1,-42.0409,146.8087
Tasmania,Ex-smoker,2016,25.2,-42.0409,146.8087
Tasmania,Ex-smoker,2019,25.9,-42.0409,146.8087
Tasmania,Never smoked,2001,47.1,-42.0409,146.8087
Tasmania,Never smoked,2004,47.6,-42.0409,146.8087
Tasmania,Never smoked,2007,48.6,-42.0409,146.8087
Tasmania,Never smoked,2010,52.9,-42.0409,146.8087
Tasmania,Never smoked,2013,53.5,-42.0409,146.8087
Tasmania,Never smoked,2016,56,-42.0409,146.8087
Tasmania,Never smoked,2019,60,-42.0409,146.8087
Northern Territory,Daily,2001,27.9,-19.491411,132.550964
Northern Territory,Daily,2004,27.4,-19.491411,132.550964
Northern Territory,Daily,2007,25.3,-19.491411,132.550964
Northern Territory,Daily,2010,22.2,-19.491411,132.550964
Northern Territory,Daily,2013,21.3,-19.491411,132.550964
Northern Territory,Daily,2016,17.2,-19.491411,132.550964
Northern Territory,Daily,2019,14.7,-19.491411,132.550964
Northern Territory,Occasional,2001,3.4,-19.491411,132.550964
Northern Territory,Occasional,2004,3.6,-19.491411,132.550964
Northern Territory,Occasional,2007,2.4,-19.491411,132.550964
Northern Territory,Occasional,2010,3.6,-19.491411,132.550964
Northern Territory,Occasional,2013,2.9,-19.491411,132.550964
Northern Territory,Occasional,2016,3.7,-19.491411,132.550964
Northern Territory,Occasional,2019,3.5,-19.491411,132.550964
Northern Territory,Ex-smoker,2001,26.4,-19.491411,132.550964
Northern Territory,Ex-smoker,2004,25.8,-19.491411,132.550964
Northern Territory,Ex-smoker,2007,22.4,-19.491411,132.550964
Northern Territory,Ex-smoker,2010,24.1,-19.491411,132.550964
Northern Territory,Ex-smoker,2013,25.7,-19.491411,132.550964
Northern Territory,Ex-smoker,2016,23.9,-19.491411,132.550964
Northern Territory,Ex-smoker,2019,22.3,-19.491411,132.550964
Northern Territory,Never smoked,2001,42.4,-19.491411,132.550964
Northern Territory,Never smoked,2004,43.2,-19.491411,132.550964
Northern Territory,Never smoked,2007,49.8,-19.491411,132.550964
Northern Territory,Never smoked,2010,50,-19.491411,132.550964
Northern Territory,Never smoked,2013,50.1,-19.491411,132.550964
Northern Territory,Never smoked,2016,55.2,-19.491411,132.550964
Northern Territory,Never smoked,2019,59.5,-19.491411,132.550964
Australian Capital Territory,Daily,2001,18.4,-35.4735,149.0124
Australian Capital Territory,Daily,2004,16.2,-35.4735,149.0124
Australian Capital Territory,Daily,2007,14.7,-35.4735,149.0124
Australian Capital Territory,Daily,2010,11,-35.4735,149.0124
Australian Capital Territory,Daily,2013,9.7,-35.4735,149.0124
Australian Capital Territory,Daily,2016,9.5,-35.4735,149.0124
Australian Capital Territory,Daily,2019,8.2,-35.4735,149.0124
Australian Capital Territory,Occasional,2001,4.2,-35.4735,149.0124
Australian Capital Territory,Occasional,2004,4.6,-35.4735,149.0124
Australian Capital Territory,Occasional,2007,2.5,-35.4735,149.0124
Australian Capital Territory,Occasional,2010,2.8,-35.4735,149.0124
Australian Capital Territory,Occasional,2013,2.5,-35.4735,149.0124
Australian Capital Territory,Occasional,2016,2.1,-35.4735,149.0124
Australian Capital Territory,Occasional,2019,1.8,-35.4735,149.0124
Australian Capital Territory,Ex-smoker,2001,27.7,-35.4735,149.0124
Australian Capital Territory,Ex-smoker,2004,25.6,-35.4735,149.0124
Australian Capital Territory,Ex-smoker,2007,24.8,-35.4735,149.0124
Australian Capital Territory,Ex-smoker,2010,24.9,-35.4735,149.0124
Australian Capital Territory,Ex-smoker,2013,22.5,-35.4735,149.0124
Australian Capital Territory,Ex-smoker,2016,22.8,-35.4735,149.0124
Australian Capital Territory,Ex-smoker,2019,20.8,-35.4735,149.0124
Australian Capital Territory,Never smoked,2001,49.8,-35.4735,149.0124
Australian Capital Territory,Never smoked,2004,53.6,-35.4735,149.0124
Australian Capital Territory,Never smoked,2007,57.9,-35.4735,149.0124
Australian Capital Territory,Never smoked,2010,61.2,-35.4735,149.0124
Australian Capital Territory,Never smoked,2013,65.3,-35.4735,149.0124
Australian Capital Territory,Never smoked,2016,65.5,-35.4735,149.0124
Australian Capital Territory,Never smoked,2019,69.2,-35.4735,149.0124
